docket,county,division,court_room,hearing_type,day_of_week,day,month,time,am_pm,street,city,zip_code,court_type
179-9-19,addison,civil,Superior Court Courtroom 2,Motion Hearing,Tuesday,19,Jan,11:30,AM,7 Mahady Court , Middlebury, 05753,Civil Division
150-6-19,addison,small claims,Superior Court Courtroom 2,Contempt Hearing,Tuesday,16,Feb,9:00,AM,7 Mahady Court , Middlebury, 05753,Civil Division
289-8-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
304-8-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
349-9-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
374-10-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
43-1-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
61-2-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
80-3-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
377-10-19,addison,criminal,Superior Court Courtroom 1,Confidential Hearing,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
405-10-18,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
177-6-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
279-7-19,addison,criminal,Superior Court Courtroom 1,Status Conference/Change of Plea,Monday,4,Jan,9:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
137-5-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,4,Jan,10:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
138-5-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,4,Jan,10:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
198-7-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,4,Jan,10:00,AM,7 Mahady Court , Middlebury, 05753,Criminal Division
