,docket,link
0,150-6-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/150-6-19.json
1,239-11-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/239-11-19.json
2,40-2-18,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/40-2-18.json
3,72-4-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/72-4-20.json
4,209-10-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/209-10-19.json
5,219-10-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/219-10-19.json
6,119-7-18,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/119-7-18.json
7,204-11-18,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_civil/204-11-18.json
8,141-4-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/141-4-19.json
9,159-5-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/159-5-20.json
10,159-5-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/159-5-19.json
11,229-8-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/229-8-20.json
12,210-7-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/210-7-20.json
13,377-9-18,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/377-9-18.json
14,544-12-17,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/544-12-17.json
15,192-6-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/192-6-19.json
16,33-6-18,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/33-6-18.json
17,268-7-18,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/268-7-18.json
18,422-10-18,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/422-10-18.json
19,156-5-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/156-5-20.json
20,300-8-19,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/300-8-19.json
21,126-4-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/126-4-20.json
22,149-5-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/149-5-20.json
23,204-7-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/204-7-20.json
24,209-7-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/209-7-20.json
25,223-8-20,https://raw.githubusercontent.com/codeforbtv/court-calendars/lj_2020-12-22/2021-01-29/addison_criminal/223-8-20.json
