docket,county,subdivision,court_room,hearing_type,day_of_week,day,month,time,am_pm,street,city,zip_code,division
150-6-19,addison,small claims,Superior Court Courtroom 2,Contempt Hearing,Tuesday,16,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,civil
239-11-19,addison,small claims,Superior Court Courtroom 2,Financial Disclosure Hearing,Tuesday,16,Feb,9:30,AM,7 Mahady Court , Middlebury,05753,civil
40-2-18,addison,civil,Superior Court Courtroom 2,Status Conference,Tuesday,16,Feb,10:45,AM,7 Mahady Court , Middlebury,05753,civil
72-4-20,addison,civil,Superior Court Courtroom 2,Motion Hearing,Tuesday,16,Feb,11:00,AM,7 Mahady Court , Middlebury,05753,civil
209-10-19,addison,civil,Superior Court Courtroom 2,Motion Hearing,Tuesday,16,Feb,2:00,PM,7 Mahady Court , Middlebury,05753,civil
219-10-19,addison,civil,Superior Court Courtroom 2,Status Conference,Tuesday,16,Feb,2:30,PM,7 Mahady Court , Middlebury,05753,civil
119-7-18,addison,civil,Superior Court Courtroom 2,Status Conference,Tuesday,16,Feb,2:45,PM,7 Mahady Court , Middlebury,05753,civil
204-11-18,addison,civil,Superior Court Courtroom 2,Status Conference,Tuesday,16,Feb,2:45,PM,7 Mahady Court , Middlebury,05753,civil
289-8-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
304-8-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
349-9-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
374-10-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
43-1-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
61-2-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
80-3-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
199-6-19,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
311-8-18,addison,criminal,Superior Court Courtroom 1,VOP Status Conference,Monday,8,Feb,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
224-8-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
237-8-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
369-9-18,addison,criminal,Superior Court Courtroom 1,Confidential Hearing,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
41-1-19,addison,criminal,Superior Court Courtroom 1,Confidential Hearing,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
78-2-19,addison,criminal,Superior Court Courtroom 1,Confidential Hearing,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
173-5-18,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
442-12-19,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
89-3-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
113-4-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
114-4-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
132-4-16,addison,criminal,Superior Court Courtroom 1,Status Conference/Change of Plea,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
163-5-16,addison,criminal,Superior Court Courtroom 1,Status Conference/Change of Plea,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
354-9-16,addison,criminal,Superior Court Courtroom 1,Status Conference/Change of Plea,Monday,8,Feb,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
225-6-19,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
42-1-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Monday,8,Feb,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
224-6-18,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
267-7-18,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
276-7-19,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
394-10-19,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
395-10-19,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,8,Feb,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
