,docket,county,division,link
0,150-6-19,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/150-6-19.json
1,239-11-19,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/239-11-19.json
2,40-2-18,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/40-2-18.json
3,72-4-20,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/72-4-20.json
4,209-10-19,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/209-10-19.json
5,219-10-19,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/219-10-19.json
6,119-7-18,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/119-7-18.json
7,204-11-18,addison,civil,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_civil/204-11-18.json
8,229-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/229-8-20.json
9,210-7-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/210-7-20.json
10,377-9-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/377-9-18.json
11,544-12-17,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/544-12-17.json
12,192-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/192-6-19.json
13,156-5-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/156-5-20.json
14,300-8-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/300-8-19.json
15,126-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/126-4-20.json
16,149-5-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/149-5-20.json
17,204-7-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/204-7-20.json
18,209-7-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/209-7-20.json
19,223-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/223-8-20.json
20,247-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/247-8-20.json
21,149-4-17,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/149-4-17.json
22,170-6-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/170-6-20.json
23,293-8-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/293-8-18.json
24,310-8-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/310-8-19.json
25,215-7-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/215-7-20.json
26,268-7-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/268-7-19.json
27,58-2-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/58-2-20.json
28,115-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/115-4-20.json
29,226-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/226-8-20.json
30,181-5-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/181-5-19.json
31,289-8-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/289-8-19.json
32,304-8-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/304-8-19.json
33,349-9-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/349-9-19.json
34,374-10-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/374-10-19.json
35,43-1-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/43-1-20.json
36,61-2-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/61-2-20.json
37,80-3-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/80-3-20.json
38,199-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/199-6-19.json
39,311-8-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/311-8-18.json
40,224-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/224-8-20.json
41,237-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/237-8-20.json
42,369-9-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/369-9-18.json
43,41-1-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/41-1-19.json
44,78-2-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/78-2-19.json
45,173-5-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/173-5-18.json
46,442-12-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/442-12-19.json
47,89-3-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/89-3-20.json
48,113-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/113-4-20.json
49,114-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/114-4-20.json
50,132-4-16,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/132-4-16.json
51,163-5-16,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/163-5-16.json
52,354-9-16,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/354-9-16.json
53,225-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/225-6-19.json
54,42-1-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/42-1-20.json
55,224-6-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/224-6-18.json
56,267-7-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/267-7-18.json
57,276-7-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/276-7-19.json
58,394-10-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/394-10-19.json
59,395-10-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/395-10-19.json
60,107-4-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/107-4-20.json
61,213-5-14,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/213-5-14.json
62,316-8-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/316-8-18.json
63,284-6-15,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/284-6-15.json
64,283-6-15,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/283-6-15.json
65,377-10-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/377-10-19.json
66,329-5-13,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/329-5-13.json
67,431-6-13,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/431-6-13.json
68,185-4-17,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/185-4-17.json
69,436-12-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/436-12-19.json
70,790-12-13,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/790-12-13.json
71,32-1-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/32-1-19.json
72,55-2-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/55-2-19.json
73,158-5-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/158-5-20.json
74,225-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/225-8-20.json
75,245-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/245-8-20.json
76,34-1-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/34-1-19.json
77,473-11-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/473-11-18.json
78,195-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/195-6-19.json
79,21-7-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/21-7-20.json
80,223-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/223-6-19.json
81,233-7-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/233-7-19.json
82,242-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/242-8-20.json
83,243-8-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/243-8-20.json
84,500-12-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/500-12-18.json
85,33-6-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/33-6-18.json
86,268-7-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/268-7-18.json
87,422-10-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/422-10-18.json
88,222-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/222-6-19.json
89,279-7-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/279-7-19.json
90,329-9-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/329-9-19.json
91,418-11-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/418-11-19.json
92,499-12-18,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/499-12-18.json
93,435-12-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/435-12-19.json
94,17-1-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/17-1-20.json
95,167-6-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/167-6-20.json
96,188-7-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/188-7-20.json
97,432-11-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/432-11-19.json
98,285-7-16,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/285-7-16.json
99,408-11-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/408-11-19.json
100,177-6-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/177-6-20.json
101,203-6-19,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/203-6-19.json
102,35-1-20,addison,criminal,https://raw.githubusercontent.com/codeforbtv/court-calendars/main/2021-02-01/addison_criminal/35-1-20.json
